player_id,player_name,position,draft_year,draft_round,overall_pick,nfl_team_drafted,nfl_season,career_year,games,ppr_points,ppr_per_game,receptions,receiving_yards,receiving_tds,rushing_yards,rushing_tds,source,source_notes
00-0005616,,WR,1984,1,1,NWE,2000,17,14,127.4,9.1,41.0,548.0,5.0,16.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0001471,,QB,1985,6,142,MIN,1999,15,0,-0.2,0.0,0.0,0.0,0.0,-2.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0003761,,QB,1985,2,37,PHI,1999,15,4,5.4,1.35,0.0,0.0,0.0,54.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0005363,,QB,1985,11,285,RAM,1999,15,14,52.2,3.729,0.0,0.0,0.0,462.0,1.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0013499,,WR,1985,4,86,BUF,1999,15,14,111.6,7.971,52.0,536.0,1.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0013639,,WR,1985,1,16,SFO,1999,15,16,181.3,11.331,67.0,830.0,5.0,13.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0003761,,QB,1985,2,37,PHI,2000,16,5,14.9,2.98,0.0,0.0,0.0,89.0,1.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0005363,,QB,1985,11,285,RAM,2000,16,8,21.9,2.737,0.0,0.0,0.0,159.0,1.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0013499,,WR,1985,4,86,BUF,2000,16,6,26.3,4.383,10.0,103.0,1.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0013639,,WR,1985,1,16,SFO,2000,16,16,195.7,12.231,74.0,799.0,7.0,-2.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
