NAME	POS	SCHOOL	HT	WT	BMI	40YD	SPEED	VERTICAL	BROAD	BENCH	3CONE	SHUTTLE	YEAR	ROUND	SPORQ
RJ Harvey	RB	UCF	5' 8"	205	31.17	4.40	109.4	38.0	127.0	16	-	4.34	2025	2	92.7
Kay-Jay Harris	RB	West Virginia	6' 0"	241	32.68	4.56	111.5	38.0	122.0	-	7.20	4.10	2005	-	92.6
Musa Smith	RB	Georgia	6' 1"	232	30.61	4.45	118.3	35.5	123.0	-	-	-	2003	3	92.4
Willis McGahee	RB	Miami (FL)	6' 0"	223	30.24	4.45	113.7	-	-	-	-	-	2003	1	92.3
Roy Helu	RB	Nebraska	5' 11"	219	30.54	4.40	116.9	36.5	119.0	11	6.67	4.01	2011	4	92.1
David Wilson	RB	Virginia Tech	5' 10"	206	29.55	4.38	111.9	41.0	132.0	-	7.09	4.12	2012	1	92.0
Trent Richardson	RB	Alabama	5' 9"	228	33.67	4.48	113.2	-	-	-	-	-	2012	1	91.9
Kalen Ballage	RB	Arizona St.	6' 1"	228	30.08	4.46	115.2	33.5	122.0	15	6.91	4.35	2018	4	91.7
Nick Chubb	RB	Georgia	5' 11"	227	31.66	4.52	108.8	38.5	128.0	29	7.09	4.25	2018	2	91.6
Jalen Parmele	RB	Toledo	5' 11"	224	31.24	4.47	112.2	34.0	125.0	19	6.96	4.29	2008	6	91.4
Elijah Mitchell	RB	Louisiana	5' 10"	201	28.84	4.33	114.4	37.5	128.0	17	6.94	4.20	2021	6	91.3
Steven Jackson	RB	Oregon St.	6' 1"	241	31.79	4.55	112.5	-	-	-	-	-	2004	1	91.2
Cedric Peerman	RB	Virginia	5' 9"	216	31.89	4.34	121.8	40.0	117.0	27	6.99	4.29	2009	6	91.0
Montrell Johnson Jr.	RB	Florida	5' 11.5"	212	29.15	4.41	112.1	35.5	123.0	-	-	4.29	2025	-	90.9
Donald Brown	RB	Connecticut	5' 10"	210	30.13	4.46	106.1	41.5	125.0	-	6.93	4.10	2009	1	90.7
Quinshon Judkins	RB	Ohio St.	5' 11.5"	221	30.39	4.48	109.7	38.5	132.0	-	-	-	2025	2	90.6
Robert Turbin	RB	Utah St.	5' 10"	222	31.85	4.42	116.3	36.0	122.0	28	7.16	4.31	2012	4	90.4
Deneric Prince	RB	Tulsa	6' 0"	216	29.29	4.41	114.2	35.5	124.0	-	-	-	2023	-	90.3
Marlion Jackson	RB	Saginaw Valley St.	6' 1"	242	31.92	4.60	108.1	35.5	125.0	24	7.15	4.14	2000	-	90.2
Jerious Norwood	RB	Mississippi St.	6' 0"	210	28.48	4.40	112.1	36.5	122.0	15	6.81	4.25	2006	3	90.0
Kenneth Walker	RB	Michigan St.	5' 9"	211	31.16	4.38	114.7	34.0	122.0	-	-	-	2022	2	89.9
Keiland Williams	RB	LSU	5' 11"	233	32.49	4.52	111.6	-	-	-	-	-	2010	-	89.7
Anthony Allen	RB	Georgia Tech	6' 1"	228	30.08	4.56	105.5	41.5	120.0	24	6.79	4.06	2011	7	89.6
