NAME	POS	SCHOOL	HT	WT	BMI	40YD	SPEED	VERTICAL	BROAD	BENCH	3CONE	SHUTTLE	YEAR	ROUND	SPORQ
DeShaun Foster	RB	UCLA	6' 1"	222	29.29	4.57	101.8	35.5	119.0	20	6.82	4.16	2002	2	68.0
Ameer Abdullah	RB	Nebraska	5' 9"	205	30.27	4.60	91.6	42.5	130.0	24	6.79	3.95	2015	2	67.9
Brandon Bolden	RB	Mississippi	5' 11"	222	30.96	4.55	103.6	38.0	119.0	21	6.96	4.44	2012	-	67.8
Maurice Jones-Drew	RB	UCLA	5' 7"	207	32.42	4.39	111.5	36.0	116.0	18	7.08	4.38	2006	2	67.6
T.J. Logan	RB	North Carolina	5' 9"	196	28.94	4.37	107.5	33.5	121.0	17	-	-	2017	5	67.5
Alvin Kamara	RB	Tennessee	5' 10"	214	30.70	4.56	99.0	39.5	131.0	15	-	-	2017	3	67.3
Ronnie Hillman	RB	San Diego St.	5' 9"	200	29.53	4.42	104.8	37.0	-	17	-	-	2012	3	67.2
Tony Fisher	RB	Notre Dame	6' 1"	226	29.81	4.66	95.9	41.5	126.0	21	7.00	4.13	2002	-	67.0
Chris Carson	RB	Oklahoma St.	6' 0"	218	29.56	4.58	99.1	37.0	130.0	23	-	-	2017	7	66.9
Aaron Jones	RB	Texas-El Paso	5' 9"	208	30.71	4.56	96.2	37.5	127.0	16	6.82	4.20	2017	5	66.8
Kenny Irons	RB	Auburn	5' 11"	203	28.31	4.45	103.5	38.0	123.0	-	7.00	4.17	2007	2	66.6
Trey Sermon	RB	Ohio State	6' 0"	215	29.16	4.59	96.9	37.0	125.0	-	6.84	4.30	2021	3	66.5
Joe McKnight	RB	USC	5' 11"	198	27.61	4.40	105.7	36.5	120.0	18	-	-	2010	4	66.3
Tyler Ervin	RB	San Jose St.	5' 10"	192	27.55	4.41	101.5	39.0	130.0	17	-	-	2016	4	66.2
Jaydon Blue	RB	Texas	5' 9"	196	28.94	4.38	106.5	-	-	-	-	-	2025	5	66.0
Tyler Goodson	RB	Iowa	5' 9"	197	29.09	4.42	103.2	36.5	123.0	-	-	-	2022	-	65.9
Jam Miller	RB	Alabama	5' 10"	209	29.99	4.42	109.5	30.5	117.0	-	-	-	2026	TBD	65.8
Shane Vereen	RB	California	5' 10"	210	30.13	4.49	103.3	34.0	115.0	31	6.95	4.28	2011	2	65.6
LaBrandon Toefield	RB	LSU	5' 11"	233	32.49	4.60	104.1	-	-	19	-	-	2003	4	65.3
Frank Moreau	RB	Louisville	6' 1"	231	30.47	4.57	105.9	36.0	117.0	23	-	-	2000	4	65.3
Ryan Williams	RB	Virginia Tech	5' 9"	212	31.30	4.59	95.5	40.0	123.0	19	6.96	4.18	2011	2	65.2
Javonte Williams	RB	North Carolina	5' 9.5"	212	30.85	4.55	98.9	36.0	123.0	22	6.93	4.09	2021	2	65.1
Lee Suggs	RB	Virginia Tech	6' 0"	202	27.39	4.44	104.0	-	-	-	-	-	2003	4	64.9
Rico Dowdle	RB	South Carolina	5' 11"	213	29.70	4.54	100.3	38.0	127.0	-	-	-	2020	-	64.8
Derrick Foster	RB	Texas A&M-Kingsville	5' 11"	201	28.03	4.43	104.4	34.5	117.0	19	6.84	4.36	2000	-	64.6
James Wilder, Jr.	RB	Florida St.	6' 3"	232	28.99	4.65	99.2	35.0	121.0	18	6.92	4.24	2014	-	64.5
Brian Robinson	RB	Alabama	6' 2"	225	28.89	4.53	106.9	30.0	119.0	-	-	-	2022	3	64.3
Chris Perry	RB	Michigan	6' 0"	224	30.38	4.56	103.6	-	-	19	-	-	2004	1	64.2
Xavier Omon	RB	Northwest Missouri State	5' 11"	228	31.80	4.52	109.2	31.0	112.0	17	-	-	2008	6	64.1
Da'Rel Scott	RB	Maryland	5' 11"	211	29.43	4.40	112.6	34.0	117.0	19	7.15	4.20	2011	7	63.9
James Robinson	RB	Illinois State	5' 9"	219	32.34	4.64	94.5	40.0	125.0	24	7.03	4.19	2020	-	63.6
William Green	RB	Boston Col.	6' 0"	221	29.97	4.60	98.7	42.0	121.0	27	-	-	2002	1	63.5
Dexter Williams	RB	Notre Dame	5' 11"	212	29.56	4.57	97.2	36.0	130.0	17	7.00	4.16	2019	6	63.4
Travis Homer	RB	Miami (FL)	5' 10"	201	28.84	4.48	99.8	39.5	130.0	17	7.07	4.31	2019	6	63.2
Andre Brown	RB	North Carolina St.	6' 0"	224	30.38	4.37	122.8	37.0	115.0	24	7.35	4.33	2009	4	63.1
Anthony McFarland	RB	Maryland	5' 8"	208	31.62	4.44	107.0	29.5	116.0	-	-	-	2020	4	62.9
Kenneth Dixon	RB	Louisiana Tech	5' 10"	215	30.85	4.56	99.5	37.5	121.0	18	6.97	4.28	2016	4	62.8
Anthony Kimble	RB	Stanford	6' 0"	216	29.29	4.54	101.7	36.0	122.0	17	7.08	4.40	2009	-	62.6
Khalil Herbert	RB	Virginia Tech	5' 9"	210	31.01	4.49	103.3	33.0	115.0	22	6.90	4.34	2021	6	62.5
Ran Carthon	RB	Florida	5' 11"	224	31.24	4.51	108.3	34.5	112.0	22	-	4.12	2004	-	62.4
Chase Edmonds	RB	Fordham	5' 9"	205	30.27	4.55	95.7	34.0	122.0	19	6.79	4.07	2018	4	62.2
Jeremy Hill	RB	LSU	6' 1"	233	30.74	4.56	107.8	29.0	113.0	20	-	-	2014	2	62.1
Jaquan Hardy	RB	Tiffin	5' 8"	211	32.08	4.53	100.2	33.0	119.0	21	6.98	4.14	2021	-	61.9
Michael Turner	RB	Northern Illinois	5' 10"	237	34.00	4.49	116.6	31.0	114.0	22	7.50	4.15	2004	5	61.8
Kendall Milton	RB	Georgia	6' 1.5"	225	29.28	4.62	98.8	35.5	124.0	18	-	4.38	2024	-	61.7
Brian Allen	RB	Stanford	5' 9"	209	30.86	4.46	105.6	33.0	112.0	19	6.90	4.08	2002	6	61.5
Cierre Wood	RB	Notre Dame	5' 11"	213	29.70	4.56	98.5	37.5	124.0	16	-	-	2013	-	61.4
Jerome Ford	RB	Cincinnati	5' 11"	210	29.29	4.46	106.1	31.0	118.0	-	-	-	2022	5	61.2
Dante' Hall	RB	Texas A&M	5' 8"	191	29.04	4.44	98.3	38.0	123.0	18	6.62	3.82	2000	-	61.1
Isaiah Pead	RB	Cincinnati	5' 10"	197	28.26	4.39	106.1	33.0	116.0	-	6.95	4.32	2012	2	60.9
Jarvion Franklin	RB	West. Michigan	5' 11"	239	33.33	4.63	104.0	30.0	109.0	18	6.93	4.31	2018	-	60.8
Adimchinobi Echemandu	RB	California	5' 11"	226	31.52	4.58	102.7	-	-	15	-	-	2004	7	60.7
Matthew Tucker	RB	TCU	6' 0"	221	29.97	4.55	103.1	35.5	118.0	17	-	-	2013	-	60.5
Nyheim Hines	RB	North Carolina St.	5' 8"	198	30.10	4.38	107.6	35.5	119.0	-	7.18	4.35	2018	4	60.2
Jay Ajayi	RB	Boise St.	6' 0"	221	29.97	4.57	101.3	39.0	121.0	19	7.10	4.10	2015	5	60.2
Michael Dyer	RB	Louisville	5' 8"	218	33.14	4.58	99.1	34.0	120.0	26	-	-	2015	-	60.1
Kaleb Johnson	RB	Iowa	6' 1"	224	29.55	4.57	102.7	-	-	-	-	-	2025	3	60.0
Devon Johnson	RB	Marshall	6' 0"	238	32.28	4.64	102.7	-	-	-	-	-	2016	-	59.8
Patrick Taylor	RB	Memphis	6' 1"	217	28.63	4.57	99.5	34.0	123.0	15	-	4.34	2020	-	59.7
Zach Charbonnet	RB	UCLA	6' 0"	214	29.02	4.53	101.6	37.0	122.0	-	-	-	2023	2	59.5
Paul Perkins	RB	UCLA	5' 10"	208	29.84	4.54	97.9	32.0	124.0	19	-	-	2016	5	59.4
Ray Davis	RB	Kentucky	5' 8"	211	32.08	4.53	100.2	35.0	119.0	-	-	4.51	2024	4	59.2
Darren Evans	RB	Virginia Tech	6' 0"	227	30.78	4.56	105.0	35.0	111.0	26	6.96	4.46	2011	-	59.1
D.J. Harper	RB	Boise St.	5' 9"	211	31.16	4.52	101.1	33.5	120.0	23	7.07	4.35	2013	-	59.0
Brandon Jackson	RB	Nebraska	5' 10"	210	30.13	4.54	98.9	37.0	122.0	21	7.00	4.14	2007	2	58.8
Tony Pollard	RB	Memphis	6' 0"	210	28.48	4.52	100.6	35.0	121.0	13	-	-	2019	4	58.5
Nehemiah Broughton	RB	Citadel	5' 11"	250	34.86	4.59	112.6	30.0	108.0	25	7.54	4.28	2005	7	58.4
Michael Carter	RB	North Carolina	5' 8"	201	30.56	4.50	98.0	34.0	119.0	16	6.83	3.98	2021	-	58.2
Derrick Ross	RB	Tarleton St.	5' 10"	226	32.42	4.56	104.5	35.0	112.0	20	7.00	4.35	2006	-	58.1
Isaiah Crowell	RB	Arkansas	5' 11"	224	31.24	4.57	102.7	38.0	117.0	23	-	-	2014	-	58.0
Blake Corum	RB	Michigan	5' 7"	205	32.10	4.53	97.4	35.5	-	27	6.82	4.12	2024	3	57.8
Chrys Chukwuma	RB	Arkansas	6' 1"	232	30.61	4.56	107.3	-	115.0	-	-	-	2000	-	57.7
Stevan Ridley	RB	LSU	5' 11"	225	31.38	4.65	96.2	36.0	118.0	18	6.78	4.21	2011	3	57.5
Malcolm Brown	RB	Texas	5' 11"	224	31.24	4.62	98.3	34.5	117.0	19	6.86	4.15	2015	-	57.4
Cory Boyd	RB	South Carolina	6' 0"	213	28.88	4.52	102.1	33.5	118.0	25	6.97	4.24	2008	7	57.3
Jadarian Price	RB	Notre Dame	5' 11"	203	28.31	4.49	99.9	35.0	124.0	21	-	-	2026	TBD	57.1
Damien Harris	RB	Alabama	5' 10"	216	30.99	4.57	99.0	37.0	121.0	16	-	-	2019	3	57.0
Wali Lundy	RB	Virginia	5' 11"	214	29.84	4.48	106.3	35.0	111.0	18	6.99	4.36	2006	6	56.8
Gerald Riggs	RB	Tennessee	5' 11"	232	32.35	4.62	101.8	-	-	-	-	-	2006	-	56.7
Brandon Wilds	RB	South Carolina	6' 1"	220	29.02	4.54	103.6	36.5	118.0	21	7.08	4.33	2016	-	56.5
Ryan Gilbert	RB	Houston	5' 10"	228	32.71	4.60	101.8	-	-	-	-	-	2006	-	56.4
Wendell Mathis	RB	Fresno St.	5' 11"	210	29.29	4.51	101.5	33.0	117.0	20	6.93	4.22	2006	-	56.3
Sewo Olonilua	RB	TCU	6' 3"	232	28.99	4.66	98.4	36.0	123.0	25	-	4.28	2020	-	56.1
Dominique Brown	RB	Louisville	6' 2"	234	30.04	4.63	101.8	-	-	17	-	-	2015	-	56.0
Jeremy Langford	RB	Michigan St.	6' 0"	208	28.21	4.42	109.0	34.5	118.0	-	7.22	4.32	2015	4	55.8
Giovani Bernard	RB	North Carolina	5' 8"	202	30.71	4.53	95.9	33.5	122.0	19	6.91	4.12	2013	2	55.7
Rudi Johnson	RB	Auburn	5' 10"	227	32.57	4.57	104.1	37.5	119.0	24	7.32	4.22	2001	4	55.6
Ryan Moats	RB	Louisiana Tech	5' 8"	210	31.93	4.46	106.1	36.0	117.0	19	7.22	4.10	2005	3	55.4
Alonzo Coleman	RB	Kansas St.	5' 10"	207	29.70	4.49	101.9	-	120.0	27	-	-	2007	-	55.3
John Crockett	RB	North Dakota St.	6' 0"	217	29.43	4.62	95.3	40.0	125.0	15	7.15	4.25	2015	-	55.1
Jonathan Williams	RB	Arkansas	5' 11"	220	30.68	4.56	101.8	-	-	16	-	-	2016	5	55.0
C.J. Anderson	RB	California	5' 8"	224	34.06	4.60	100.1	32.0	119.0	17	7.15	4.12	2013	-	54.8
James Davis	RB	Clemson	5' 11"	218	30.40	4.45	111.2	32.0	109.0	17	7.15	4.37	2009	6	54.7
Chris Rainey	RB	Florida	5' 8"	180	27.37	4.36	99.6	36.5	120.0	16	6.50	3.93	2012	5	54.6
Kerry Carter	RB	Stanford	6' 2"	238	30.55	4.61	105.4	36.0	118.0	20	7.29	4.39	2003	-	54.4
Anthony Dixon	RB	Mississippi St.	6' 1"	233	30.74	4.67	98.0	33.0	121.0	15	7.09	4.49	2010	6	54.3
Michael Wiley	RB	Arizona	5' 10.5"	210	29.70	4.51	101.5	33.5	119.0	-	-	4.43	2024	-	54.1
Tyler Badie	RB	Missouri	5' 8"	197	29.95	4.45	100.5	33.5	121.0	-	-	-	2022	6	54.0
Kenneth Gainwell	RB	Memphis	5' 8"	201	30.56	4.44	103.4	35.0	121.0	21	7.26	4.46	2021	5	53.9
Cyrus Gray	RB	Texas A&M	5' 10"	206	29.55	4.40	109.9	32.5	114.0	21	7.17	-	2012	6	53.7
Davin Meggett	RB	Maryland	5' 8"	211	32.08	4.50	102.9	35.0	118.0	23	7.14	4.32	2012	-	53.6
Jonas Gray	RB	Notre Dame	5' 10"	223	31.99	4.58	101.4	-	-	20	-	-	2012	-	53.4
Thomas Brown	RB	Georgia	5' 8"	204	31.01	4.51	98.6	36.0	128.0	25	7.17	-	2008	6	53.3
Chris Ogbonnaya	RB	Texas	6' 0"	220	29.83	4.57	100.9	35.0	111.0	19	6.85	4.29	2009	7	53.1
Snoop Conner	RB	Mississippi	5' 10"	222	31.85	4.59	100.0	29.5	118.0	25	-	-	2022	5	53.0
Devontae Booker	RB	Utah	5' 11"	219	30.54	4.56	101.3	-	-	22	-	-	2016	4	52.9
Johnathan Franklin	RB	UCLA	5' 10"	205	29.41	4.49	100.9	31.5	115.0	18	6.89	4.31	2013	4	52.7
Ke'Shawn Vaughn	RB	Vanderbilt	5' 10"	214	30.70	4.51	103.5	32.0	117.0	-	-	-	2020	3	52.6
Leon Washington	RB	Florida St.	5' 8"	201	30.56	4.42	105.3	32.5	105.0	17	6.94	4.37	2006	4	52.4
Justin Jackson	RB	Northwestern	6' 0"	199	26.99	4.52	95.4	38.5	122.0	13	6.81	4.07	2018	7	52.1
Daniel Thomas	RB	Kansas St.	6' 0"	230	31.19	4.62	101.0	-	-	21	-	-	2011	2	52.1
Roschon Johnson	RB	Texas	6' 0"	219	29.70	4.58	99.5	31.5	122.0	-	-	-	2023	4	51.9
Javon Ringer	RB	Michigan St.	5' 9"	205	30.27	4.50	100.0	34.0	115.0	23	6.87	4.11	2009	5	51.7
Tyler Allgeier	RB	BYU	5' 11"	224	31.24	4.60	100.1	33.0	120.0	-	-	-	2022	5	51.6
Marlon Lucky	RB	Nebraska	5' 11"	216	30.12	4.50	105.3	33.5	114.0	18	7.10	-	2009	-	51.4
Keilan Robinson	RB	Texas	5' 8"	191	29.04	4.42	100.1	33.0	125.0	-	-	-	2024	5	51.3
Thomas Hamner	RB	Minnesota	6' 0"	197	26.72	4.50	96.1	32.0	125.0	17	6.97	4.07	2000	6	51.2
Tyrion Davis-Price	RB	LSU	6' 0"	211	28.61	4.48	104.8	30.0	117.0	-	-	-	2022	3	51.0
Jewel Hampton	RB	Southern Illinois	5' 9"	218	32.19	4.56	100.8	-	-	26	-	-	2012	-	50.9
George Holani	RB	Boise State	5' 10"	208	29.84	4.52	99.7	39.0	127.0	24	7.32	4.33	2024	-	50.6
Dylan Laube	RB	New Hampshire	5' 10"	206	29.55	4.54	97.0	37.0	118.0	23	6.84	4.02	2024	6	50.6
Kylin Hill	RB	Mississippi State	5' 10"	214	30.70	4.55	99.9	36.0	122.0	22	7.20	4.35	2021	7	50.4
Darius Walker	RB	Notre Dame	5' 10"	206	29.55	4.55	96.1	40.5	123.0	19	7.18	4.39	2007	-	50.3
JaMycal Hasty	RB	Baylor	5' 8"	205	31.17	4.55	95.7	39.0	123.0	15	-	4.03	2020	-	50.2
Sony Michel	RB	Georgia	5' 11"	214	29.84	4.54	100.7	-	-	22	-	4.21	2018	1	49.9
Derrick Blaylock	RB	Stephen F. Austin	5' 10"	194	27.83	4.36	107.4	35.5	119.0	18	7.05	4.09	2001	5	49.9
David Montgomery	RB	Iowa St.	5' 10"	222	31.85	4.63	96.6	28.5	121.0	15	-	-	2019	3	49.7
Kolby Smith	RB	Louisville	5' 11"	220	30.68	4.50	107.3	38.0	114.0	18	7.22	4.34	2007	5	49.6
Johnny White	RB	North Carolina	5' 10"	209	29.99	4.50	101.9	32.5	117.0	-	7.07	4.31	2011	5	49.5
Eno Benjamin	RB	Arizona State	5' 9"	207	30.57	4.57	94.9	39.0	122.0	12	6.97	4.25	2020	7	49.3
Samaje Perine	RB	Oklahoma	5' 11"	233	32.49	4.65	99.7	33.0	116.0	30	7.26	4.37	2017	4	49.2
Andre Hall	RB	South Florida	5' 8"	208	31.62	4.40	111.0	33.0	113.0	18	7.38	-	2006	-	49.0
Garrett Wolfe	RB	Northern Illinois	5' 7"	186	29.13	4.39	100.2	35.5	116.0	22	6.69	4.08	2007	3	48.9
Ryan Torain	RB	Arizona St.	6' 0"	222	30.11	4.61	98.3	34.0	120.0	21	-	-	2008	5	48.7
Joique Bell	RB	Wayne State (MI)	5' 11"	220	30.68	4.68	91.7	36.5	120.0	-	6.84	4.17	2010	-	48.6
Elijah McGuire	RB	Louisiana	5' 10"	214	30.70	4.53	101.6	36.0	120.0	15	7.26	4.56	2017	6	48.5
Steve Slaton	RB	West Virginia	5' 9"	197	29.09	4.45	100.5	33.5	118.0	19	-	-	2008	3	48.3
Phillip Rogers	RB	Georgia Tech	6' 1"	232	30.61	4.68	96.7	37.0	124.0	19	7.21	4.31	2000	-	48.0
Lionel Gates	RB	Louisville	6' 0"	222	30.11	4.60	99.2	36.0	121.0	23	7.17	4.10	2005	7	48.0
Dameon Pierce	RB	Florida	5' 10"	218	31.28	4.59	98.2	34.5	119.0	21	-	-	2022	4	47.8
Eli Heidenreich	RB	Navy	6' 0"	198	26.85	4.44	101.9	35.5	120.0	16	-	-	2026	TBD	47.8
Demond Claiborne	RB	Wake Forest	5' 10"	188	26.97	4.37	103.1	-	122.0	-	-	-	2026	TBD	47.6
LeGarrette Blount	RB	Oregon	6' 0"	241	32.68	4.70	98.8	35.0	117.0	18	6.85	4.49	2010	-	47.3
Devin Neal	RB	Kansas	5' 11"	213	29.70	4.58	96.8	37.5	124.0	-	-	-	2025	6	47.3
Ollie Gordon II	RB	Oklahoma St.	6' 1.5"	226	29.41	4.61	100.1	34.5	120.0	-	-	-	2025	6	47.2
Trung Canidate	RB	Arizona	5' 11"	193	26.92	4.41	102.1	-	-	18	-	-	2000	1	47.0
Isaiah Davis	RB	South Dakota State	6' 0"	218	29.56	4.58	99.1	34.5	119.0	23	-	-	2024	5	46.9
Cameron Artis-Payne	RB	Auburn	5' 10"	212	30.42	4.53	100.7	36.5	118.0	-	7.13	-	2015	5	46.8
Deandre Washington	RB	Texas Tech	5' 8"	204	31.01	4.49	100.4	34.5	116.0	24	7.03	4.20	2016	5	46.6
Lamar Gordon	RB	North Dakota St.	6' 1"	214	28.23	4.55	99.9	34.0	119.0	16	-	-	2002	3	46.5
Spencer Ware	RB	LSU	5' 10"	228	32.71	4.62	100.1	-	-	-	-	-	2013	6	46.3
Charles Scott	RB	LSU	5' 11"	238	33.19	4.68	99.2	30.5	111.0	-	6.98	4.47	2010	6	46.2
Rex Burkhead	RB	Nebraska	5' 10"	214	30.70	4.73	85.5	39.0	125.0	21	6.85	4.09	2013	6	46.0
Damien Berry	RB	Miami (FL)	5' 10"	211	30.27	4.58	95.9	33.5	120.0	23	7.00	4.12	2011	-	45.9
Josh Ferguson	RB	Illinois	5' 9"	198	29.24	4.48	98.3	34.5	120.0	21	-	-	2016	-	45.8
Bilal Powell	RB	Louisville	5' 10"	207	29.70	4.51	100.1	-	-	18	-	-	2011	4	45.6
Dan Herron	RB	Ohio St.	5' 10"	213	30.56	4.57	97.7	35.0	117.0	22	6.97	4.04	2012	6	45.5
Jet Anderson	RB	TCU	5' 10"	208	29.84	4.61	92.1	36.0	128.0	19	-	4.19	2020	-	45.3
Chuba Hubbard	RB	Oklahoma State	6' 0"	210	28.48	4.50	102.4	36.0	120.0	20	7.28	4.30	2021	4	45.2
Maurice Morris	RB	Oregon	5' 11"	208	29.01	4.53	98.8	38.5	119.0	23	-	-	2002	2	45.1
Glen Coffee	RB	Alabama	6' 0"	209	28.34	4.50	101.9	36.0	121.0	24	7.35	4.51	2009	3	44.9
Alexander Mattison	RB	Boise St.	5' 11"	221	30.82	4.67	92.9	35.0	127.0	22	7.13	4.29	2019	3	44.8
Noah Herron	RB	Northwestern	5' 11"	224	31.24	4.60	100.1	31.0	108.0	17	6.95	3.97	2005	7	44.6
David Fluellen	RB	Toledo	5' 11"	224	31.24	4.72	90.3	36.5	120.0	-	6.90	-	2014	-	44.5
Clyde Edwards-Helaire	RB	LSU	5' 7"	207	32.42	4.60	92.5	39.5	123.0	15	-	-	2020	1	44.3
Carlos Hyde	RB	Ohio St.	6' 0"	230	31.19	4.62	101.0	34.5	114.0	19	-	-	2014	2	44.2
Benny Snell	RB	Kentucky	5' 10"	224	32.14	4.66	95.0	29.5	119.0	16	7.07	4.33	2019	-	44.1
Duke Johnson	RB	Miami (FL)	5' 9"	207	30.57	4.54	97.4	33.5	121.0	-	-	-	2015	3	43.9
Derrick Locke	RB	Kentucky	5' 8"	188	28.58	4.37	103.1	37.5	118.0	16	6.98	4.15	2011	-	43.8
Quentin Griffin	RB	Oklahoma	5' 7"	195	30.54	4.48	96.8	38.0	123.0	21	-	4.08	2003	4	43.6
Anthony Alridge	RB	Houston	5' 9"	170	25.10	4.36	94.1	30.5	134.0	-	6.88	-	2008	-	43.5
Vick Ballard	RB	Mississippi St.	5' 10"	219	31.42	4.59	98.7	33.0	115.0	23	7.03	4.19	2012	5	43.4
Rhamondre Stevenson	RB	Oklahoma	5' 11.5"	231	31.77	4.63	100.5	31.5	112.0	15	7.09	4.15	2021	4	43.2
D.J. Ware	RB	Illinois	6' 0"	225	30.51	4.61	99.6	-	-	21	-	-	2007	-	42.9
Cedric Houston	RB	Tennessee	5' 11"	225	31.38	4.61	99.6	-	-	-	-	-	2005	6	42.9
LaDarius Perkins	RB	Mississippi St.	5' 7"	195	30.54	4.46	98.6	35.5	124.0	23	7.08	4.30	2014	-	42.8
Keith Brown	RB	UCLA	5' 11"	216	30.12	4.66	91.6	30.0	117.0	-	6.64	4.08	2000	-	42.6
Thomas Clayton	RB	Kansas St.	5' 10"	218	31.28	4.63	94.9	36.5	121.0	23	-	-	2007	-	42.5
Travis Minor	RB	Florida St.	5' 10"	197	28.26	4.44	101.4	32.0	115.0	9	-	-	2001	3	42.2
Keaton Mitchell	RB	East Carolina	5' 8"	179	27.21	4.37	98.2	38.0	126.0	-	-	-	2023	-	42.1
Ketric Sanford	RB	Houston	5' 7"	199	31.16	4.60	88.9	32.0	118.0	12	6.63	4.30	2000	-	41.9
DeeJay Dallas	RB	Miami	5' 10"	217	31.13	4.58	98.6	33.5	119.0	-	7.18	4.32	2020	4	41.8
Derek Combs	RB	Ohio St.	6' 0"	193	26.17	4.42	101.1	35.0	120.0	8	6.96	4.07	2001	7	41.7
Alfred Blue	RB	LSU	6' 2"	223	28.63	4.63	97.1	32.0	121.0	13	7.15	4.50	2014	6	41.5
Woody Marks	RB	USC	5' 10"	207	29.70	4.54	97.4	35.0	119.0	18	-	4.24	2025	4	41.4
Matt Jones	RB	Florida	6' 2"	231	29.66	4.61	102.3	31.5	112.0	20	-	4.20	2015	3	41.2
Larry Ned	RB	San Diego St.	5' 11"	219	30.54	4.62	96.1	34.5	120.0	15	7.12	-	2002	6	41.1
Sultan McCullough	RB	USC	5' 11"	202	28.17	4.49	99.4	-	-	27	-	-	2003	-	40.8
Trayveon Williams	RB	Texas A&M	5' 8"	206	31.32	4.51	99.6	33.0	121.0	19	7.44	4.44	2019	6	40.7
Dalvin Cook	RB	Florida St.	5' 10"	210	30.13	4.49	103.3	30.5	116.0	22	7.27	4.53	2017	2	40.5
Andre Dixon	RB	Connecticut	6' 1"	205	27.04	4.56	94.8	40.0	117.0	-	6.99	4.19	2010	-	40.4
Alfred Morris	RB	Florida Atlantic	5' 10"	219	31.42	4.63	95.3	35.5	117.0	16	7.01	4.19	2012	6	40.2
Chris Polk	RB	Washington	5' 10"	215	30.85	4.52	103.0	31.5	111.0	-	7.13	4.21	2012	-	40.1
Matthew Dayes	RB	North Carolina St.	5' 9"	205	30.27	4.47	102.7	28.0	109.0	18	-	-	2017	7	40.0
Quincy Wilson	RB	West Virginia	5' 9"	225	33.22	4.60	100.5	33.5	118.0	26	7.68	4.36	2004	7	39.7
Brian Calhoun	RB	Wisconsin	5' 9"	201	29.68	4.57	92.2	31.5	124.0	18	7.05	4.20	2006	3	39.7
Peyton Barber	RB	Auburn	5' 10"	228	32.71	4.64	98.4	32.5	111.0	20	7.00	4.21	2016	-	39.5
Trey Williams	RB	Texas A&M	5' 7"	195	30.54	4.49	96.0	33.5	119.0	18	6.84	4.12	2015	-	39.4
Troy Hambrick	RB	South Carolina	6' 0"	237	32.14	4.66	100.5	34.5	118.0	21	7.48	4.44	2000	-	39.2
Shaun Alexander	RB	Alabama	6' 0"	218	29.56	4.58	99.1	-	-	-	-	-	2000	1	39.1
T.J. Yeldon	RB	Alabama	6' 1"	226	29.81	4.61	100.1	36.0	117.0	22	7.19	4.22	2015	2	39.0
Chris Thompson	RB	Florida St.	5' 7"	192	30.07	4.42	100.6	-	-	21	-	-	2013	5	38.8
Brashard Smith	RB	SMU	5' 10"	194	27.83	4.39	104.5	32.5	117.0	-	-	-	2025	7	38.7
Lew Thomas	RB	Vanderbilt	5' 9"	210	31.01	4.59	94.6	36.0	115.0	17	6.87	4.21	2002	-	38.5
Jordan Scarlett	RB	Florida	5' 11"	208	29.01	4.47	104.2	30.0	116.0	21	7.37	4.63	2019	5	38.4
Ramonce Taylor	RB	Texas College	5' 10"	195	27.98	4.50	95.1	34.0	125.0	-	6.98	4.23	2007	-	38.2
Brian Herrien	RB	Georgia	5' 11"	209	29.15	4.62	91.8	38.5	126.0	18	7.12	4.40	2020	-	38.1
Dwone Hicks	RB	Middle Tennessee State	5' 10"	222	31.85	4.60	99.2	34.0	115.0	29	7.38	4.42	2003	-	38.0
Tra Carson	RB	Texas A&M	5' 11"	227	31.66	4.63	98.8	-	-	19	-	-	2016	-	37.8
Roc Thomas	RB	Jacksonville St.	5' 10"	198	28.41	4.56	91.6	35.5	125.0	16	-	-	2018	-	37.7
Damien Anderson	RB	Northwestern	5' 10"	211	30.27	4.56	97.6	33.5	112.0	27	6.93	4.02	2002	-	37.5
Montee Ball	RB	Wisconsin	5' 10"	214	30.70	4.66	90.8	32.0	118.0	15	6.88	4.40	2013	2	37.4
Tauren Poole	RB	Tennessee	5' 10"	205	29.41	4.48	101.8	34.0	118.0	24	7.36	4.19	2012	-	37.3
Ladell Betts	RB	Iowa	5' 10"	220	31.56	4.62	96.6	38.0	116.0	23	7.06	4.06	2002	2	37.1
Kenjon Barner	RB	Oregon	5' 9"	196	28.94	4.52	93.9	35.5	122.0	20	6.87	4.20	2013	6	37.0
Travis Henry	RB	Tennessee	5' 9"	223	32.93	4.61	98.7	-	-	23	-	-	2001	2	36.8
Edwin Baker	RB	Michigan St.	5' 8"	204	31.01	4.44	105.0	35.0	111.0	20	7.27	4.31	2012	7	36.7
Dahrran Diedrick	RB	Nebraska	6' 0"	228	30.92	4.62	100.1	37.0	117.0	19	7.32	4.44	2003	-	36.5
Frank Gore	RB	Miami (FL)	5' 9"	217	32.04	4.58	98.6	-	-	-	-	-	2005	3	36.4
Marshaun Coprich	RB	Illinois St.	5' 8"	207	31.47	4.47	103.7	34.0	112.0	17	7.26	4.58	2016	-	36.3
Anthony Thomas	RB	Michigan	6' 2"	229	29.40	4.58	104.1	32.5	115.0	20	7.48	4.44	2001	2	36.1
Santonio Beard	RB	Alabama	6' 0"	222	30.11	4.62	97.5	31.5	119.0	-	-	-	2003	-	36.0
Cedric Humes	RB	Virginia Tech	6' 1"	227	29.95	4.62	99.7	30.5	106.0	18	7.07	4.22	2006	7	35.7
